,name,initPlayer1Grid,initPlayer2Grid,target1Grid,target2Grid,aimActionPlayer1,reactionTime,aimActionPlayer2,trajectoryPlayer1,trajectoryPlayer2,goalPlayer1,goalPlayer2
0,test,"(13, 7)","(1, 7)","(7, 5)","(7, 9)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1)]","[1041, 241, 144, 223, 102, 225, 250, 192]","[(1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5)]","[(1, 7), (2, 7), (2, 6), (3, 6), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5)]","[0, 0, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 1, 0, 0, 0, 0]"
1,test,"(13, 7)","(1, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[658, 192, 162, 193, 115, 105, 97, 70, 179]","[(0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (9, 6), (8, 6), (8, 5), (7, 5), (7, 4)]","[(1, 7), (1, 8), (1, 9), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10)]","[0, 0, 0, 0, 1, 0, 1, 0, 1]","[2, 2, 2, 0, 0, 0, 0, 0, 0]"
2,test,"(13, 7)","(3, 7)","(8, 5)","(8, 9)","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0)]","[354, 183, 162, 116, 103, 168, 201, 56, 357]","[(1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 0), (0, 0)]","[(13, 7), (12, 7), (11, 7), (10, 7), (10, 6), (9, 6), (8, 6), (7, 6), (7, 5), (8, 5)]","[(3, 7), (4, 7), (4, 8), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (8, 9), (8, 9)]","[0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 2, 2, 0, 0, 0, 0, 0, 0]"
3,test,"(14, 7)","(2, 7)","(8, 3)","(8, 11)","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]","[318, 162, 237, 132, 194, 90, 114, 105, 246, 26]","[(0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(14, 7), (13, 7), (12, 7), (12, 6), (11, 6), (10, 6), (10, 5), (9, 5), (9, 4), (9, 3), (8, 3)]","[(2, 7), (2, 6), (2, 5), (3, 5), (3, 4), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3)]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]"
4,test,"(14, 7)","(0, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1)]","[336, 194, 160, 206, 208, 212, 323, 193, 13, 252]","[(0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[(14, 7), (13, 7), (12, 7), (11, 7), (10, 7), (9, 7), (8, 7), (8, 6), (8, 5), (7, 5), (7, 4)]","[(0, 7), (0, 8), (1, 8), (1, 9), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10)]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]","[2, 0, 2, 2, 0, 0, 0, 0, 0, 0]"
5,test,"(12, 7)","(2, 7)","(7, 4)","(7, 10)","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]","[325, 177, 146, 56, 150, 24, 118, 71]","[(0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[(12, 7), (11, 7), (10, 7), (10, 6), (9, 6), (9, 5), (8, 5), (8, 4), (7, 4)]","[(2, 7), (2, 6), (3, 6), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (7, 4)]","[0, 0, 1, 0, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 0, 0, 1]"
6,test,"(7, 0)","(7, 14)","(5, 7)","(9, 7)","[(-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[326, 268, 162, 115, 187, 236, 174, 161, 145]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[(7, 0), (6, 0), (6, 1), (5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7)]","[(7, 14), (8, 14), (9, 14), (9, 13), (9, 12), (9, 11), (9, 10), (9, 9), (9, 8), (9, 7)]","[1, 0, 1, 0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0, 0, 0, 0]"
7,test,"(7, 1)","(7, 11)","(3, 6)","(11, 6)","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1)]","[382, 147, 132, 118, 98, 131, 72, 132, 101]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1)]","[(7, 1), (7, 2), (6, 2), (6, 3), (5, 3), (5, 4), (4, 4), (4, 5), (3, 5), (3, 6)]","[(7, 11), (7, 10), (6, 10), (6, 9), (5, 9), (4, 9), (4, 8), (3, 8), (3, 7), (3, 6)]","[0, 1, 0, 1, 0, 1, 0, 1, 0]","[0, 1, 0, 1, 1, 0, 1, 0, 0]"
8,test,"(7, 14)","(7, 0)","(3, 7)","(11, 7)","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[343, 249, 201, 312, 206, 177, 103, 178, 116, 145, 209, 175, 177]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 0), (0, 0)]","[(7, 14), (7, 14), (7, 14), (6, 14), (5, 14), (5, 13), (4, 13), (4, 12), (4, 11), (3, 11), (3, 10), (3, 9), (3, 8), (3, 7)]","[(7, 0), (8, 0), (8, 1), (9, 1), (9, 2), (10, 2), (10, 3), (10, 4), (10, 5), (11, 5), (11, 6), (11, 7), (11, 7), (11, 7)]","[0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0]","[2, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0]"
9,test,"(7, 14)","(7, 0)","(3, 7)","(11, 7)","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1)]","[431, 171, 131, 163, 121, 146, 128, 85, 107, 186, 168]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(7, 14), (7, 13), (6, 13), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (3, 10), (3, 9), (3, 8), (3, 7)]","[(7, 0), (8, 0), (9, 0), (10, 0), (11, 0), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5), (11, 6), (11, 7)]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
